
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-02-16 21:37:11 /build/assets/simple-menu-d036b577.png ....... ~ 0.05ms
  2026-02-16 21:37:11 /build/assets/top-menu-6bd15a6f.png .......... ~ 0.33ms
  2026-02-16 21:37:13 /grades/create ............................. ~ 500.74ms
  2026-02-16 21:37:14 /build/assets/tom-select-f7c9484a.css ........ ~ 0.22ms
  2026-02-16 21:37:14 /build/assets/tippy-2114d032.css ............. ~ 0.55ms
  2026-02-16 21:37:14 /build/assets/side-nav-f137ceba.css .......... ~ 1.00ms
  2026-02-16 21:37:14 /build/assets/simplebar-6c874a94.css ......... ~ 1.38ms
  2026-02-16 21:37:14 /build/assets/mobile-menu-3f10e362.css ....... ~ 1.69ms
  2026-02-16 21:37:14 /build/assets/app-992a4fb0.css ............... ~ 2.17ms
  2026-02-16 21:37:14 /build/assets/dom-99fd0146.js ................ ~ 2.36ms
  2026-02-16 21:37:14 /build/assets/tailwind-merge-9b07a190.js ..... ~ 2.25ms
  2026-02-16 21:37:14 /build/assets/tom-select-0edec986.js ......... ~ 1.67ms
  2026-02-16 21:37:14 /build/assets/tippy-2e9cf08a.js .............. ~ 2.05ms
  2026-02-16 21:37:14 /build/assets/lucide-005f7c06.js ............. ~ 3.33ms
  2026-02-16 21:37:14 /build/assets/popper-0e930465.js ............. ~ 1.69ms
  2026-02-16 21:37:14 /build/assets/simplebar-d3581fbe.js .......... ~ 0.86ms
  2026-02-16 21:37:14 /build/assets/transition-7f89bf19.js ......... ~ 0.56ms
  2026-02-16 21:37:14 /build/assets/_commonjsHelpers-725317a4.js ... ~ 1.61ms
  2026-02-16 21:37:14 /build/assets/modal-8e103543.js .............. ~ 1.11ms
  2026-02-16 21:37:14 /build/assets/popper-dfd1031a.js ............. ~ 1.16ms
  2026-02-16 21:37:14 /build/assets/dropdown-c87bd42d.js ........... ~ 1.65ms
  2026-02-16 21:37:14 /build/assets/theme-color-2e9362d9.js ........ ~ 2.02ms
  2026-02-16 21:37:14 /build/assets/lucide-5755dfe2.js ............. ~ 0.09ms
  2026-02-16 21:37:14 /build/assets/tom-select-c8b3e4f4.js ......... ~ 0.58ms
  2026-02-16 21:37:14 /build/assets/kindergarten-b43e29ef.js ....... ~ 0.92ms
  2026-02-16 21:37:14 /build/assets/mobile-menu-e1a214a8.js ........ ~ 1.38ms
  2026-02-16 21:37:14 /build/assets/rubick-d2eb4c5b.png ............ ~ 0.09ms
  2026-02-16 21:37:14 /build/assets/icewall-dfd84f90.png ........... ~ 0.57ms
  2026-02-16 21:37:14 /build/assets/logo-9a88cec5.svg .............. ~ 0.07ms
  2026-02-16 21:37:14 /build/assets/side-menu-50e30ced.png ......... ~ 0.56ms
  2026-02-16 21:37:14 /build/assets/tinker-b3341c3d.png ............ ~ 1.81ms
  2026-02-16 21:37:14 /build/assets/enigma-29c5d58f.png ............ ~ 1.74ms
  2026-02-16 21:37:14 /build/assets/simple-menu-d036b577.png ....... ~ 0.07ms
  2026-02-16 21:37:14 /build/assets/top-menu-6bd15a6f.png .......... ~ 0.43ms
